Rang,Abs. Frekv.,Promille,Kumulert,Ord
331,3906,0.27,552.14,våre
332,3904,0.27,552.4,følge
333,3902,0.27,552.67,the
334,3866,0.26,552.94,ansatte
335,3861,0.26,553.2,arbeid
336,3853,0.26,553.47,ti
337,3852,0.26,553.73,stadig
338,3850,0.26,553.99,plass
339,3840,0.26,554.26,50
340,3815,0.26,554.52,ho
341,3805,0.26,554.78,dager
342,3726,0.26,555.03,betyr
343,3724,0.26,555.29,støtte
344,3716,0.25,555.54,ganger
345,3683,0.25,555.8,f
346,3660,0.25,556.05,klar
347,3646,0.25,556.3,personer
348,3630,0.25,556.55,mandag
349,3618,0.25,556.79,nr
350,3613,0.25,557.04,sagt
351,3599,0.25,557.29,problemer
352,3598,0.25,557.54,forbindelse
353,3588,0.25,557.78,bort
354,3543,0.24,558.02,kvinner
355,3540,0.24,558.27,fast
356,3534,0.24,558.51,fall
357,3532,0.24,558.75,full
358,3523,0.24,558.99,offentlig
359,3519,0.24,559.23,data
360,3507,0.24,559.47,holde
361,3495,0.24,559.71,kr
362,3492,0.24,559.95,legger
363,3492,0.24,560.19,vei
364,3489,0.24,560.43,25
365,3489,0.24,560.67,95
366,3488,0.24,560.91,spesielt
367,3481,0.24,561.15,18
368,3481,0.24,561.39,burde
369,3461,0.24,561.62,kort
370,3453,0.24,561.86,holdt
371,3445,0.24,562.1,microsoft
372,3439,0.24,562.33,14
373,3439,0.24,562.57,antall
374,3439,0.24,562.8,dagbladet
375,3432,0.24,563.04,nærmere
376,3416,0.23,563.27,hjelp
377,3409,0.23,563.51,årene
378,3393,0.23,563.74,enda
379,3388,0.23,563.97,tirsdag
380,3388,0.23,564.2,ute
381,3379,0.23,564.43,1993
382,3379,0.23,564.67,politisk
383,3376,0.23,564.9,hvem
384,3356,0.23,565.13,spørsmålet
385,3345,0.23,565.36,behov
386,3339,0.23,565.59,kjent
387,3332,0.23,565.81,offentlige
388,3327,0.23,566.04,foran
389,3312,0.23,566.27,direkte
390,3311,0.23,566.5,året
391,3307,0.23,566.72,ibm
392,3290,0.23,566.95,ca
393,3284,0.23,567.17,bruker
394,3284,0.23,567.4,menn
395,3280,0.22,567.62,egne
396,3279,0.22,567.85,onsdag
397,3279,0.22,568.07,sterkt
398,3276,0.22,568.3,seks
399,3255,0.22,568.52,altså
400,3243,0.22,568.74,e
401,3228,0.22,568.96,mål
402,3218,0.22,569.18,hjem
403,3215,0.22,569.4,16
404,3215,0.22,569.63,mannen
405,3198,0.22,569.84,bjørn
406,3191,0.22,570.06,legge
407,3178,0.22,570.28,unge
408,3175,0.22,570.5,sette
409,3171,0.22,570.72,livet
410,3166,0.22,570.93,lov
411,3165,0.22,571.15,president
412,3159,0.22,571.37,jan
413,3141,0.22,571.58,torsdag
414,3139,0.22,571.8,funnet
415,3129,0.21,572.01,ting
416,3126,0.21,572.23,regler
417,3120,0.21,572.44,nødvendig
418,3117,0.21,572.65,internett
419,3113,0.21,572.87,hvorfor
420,3111,0.21,573.08,13
421,3109,0.21,573.29,sted
422,3107,0.21,573.51,forslag
423,3107,0.21,573.72,tiltak
424,3099,0.21,573.93,arne
425,3099,0.21,574.14,statsminister
426,3089,0.21,574.35,byen
427,3082,0.21,574.57,deler
428,3074,0.21,574.78,trenger
429,3064,0.21,574.99,lett
430,3051,0.21,575.2,17
431,3030,0.21,575.4,stedet
432,3028,0.21,575.61,40
433,3017,0.21,575.82,direktør
434,3006,0.21,576.02,tro
435,3003,0.21,576.23,ord
436,3002,0.21,576.44,finner
437,2999,0.21,576.64,lang
438,2997,0.21,576.85,ba
439,2982,0.2,577.05,betydning
440,2968,0.2,577.25,1992
441,2961,0.2,577.46,ga
442,2960,0.2,577.66,markedet
443,2959,0.2,577.86,hverandre
444,2948,0.2,578.06,ntb
445,2944,0.2,578.27,dagen
446,2931,0.2,578.47,lå
447,2929,0.2,578.67,utviklingen
448,2920,0.2,578.87,ellers
449,2899,0.2,579.07,skjer
450,2897,0.2,579.27,begynte
451,2897,0.2,579.46,form
452,2894,0.2,579.66,laget
453,2887,0.2,579.86,ennå
454,2879,0.2,580.06,inne
455,2870,0.2,580.25,området
456,2868,0.2,580.45,uke
457,2867,0.2,580.65,eget
458,2857,0.2,580.84,skriver
459,2852,0.2,581.04,forskjellige
460,2852,0.2,581.23,foto
461,2851,0.2,581.43,hensyn
462,2839,0.19,581.62,gjerne
463,2837,0.19,581.82,akkurat
464,2837,0.19,582.01,lørdag
465,2820,0.19,582.21,høyere
466,2813,0.19,582.4,1994
467,2813,0.19,582.59,økonomiske
468,2803,0.19,582.78,brukt
469,2800,0.19,582.98,høyre
470,2793,0.19,583.17,dere
471,2777,0.19,583.36,best
472,2773,0.19,583.55,ansvar
473,2770,0.19,583.74,dårlig
474,2760,0.19,583.93,kampen
475,2758,0.19,584.12,sverige
476,2757,0.19,584.3,19
477,2754,0.19,584.49,riktig
478,2748,0.19,584.68,vårt
479,2747,0.19,584.87,situasjonen
480,2747,0.19,585.06,sto
481,2740,0.19,585.25,sitter
482,2737,0.19,585.43,økt
483,2734,0.19,585.62,små
484,2732,0.19,585.81,22
485,2731,0.19,586,v
486,2720,0.19,586.18,lag
487,2707,0.19,586.37,søndag
488,2697,0.18,586.55,tross
489,2675,0.18,586.74,tredje
490,2671,0.18,586.92,milliarder
491,2664,0.18,587.1,statens
492,2664,0.18,587.28,trolig
493,2632,0.18,587.46,telenor
494,2615,0.18,587.64,samlet
495,2585,0.18,587.82,eldre
496,2585,0.18,588,holder
497,2584,0.18,588.17,vg
498,2575,0.18,588.35,eks
499,2561,0.18,588.53,heter
500,2557,0.18,588.7,par
501,2553,0.17,588.88,utvikling
502,2552,0.17,589.05,krever
503,2547,0.17,589.23,felles
504,2546,0.17,589.4,fant
505,2545,0.17,589.58,sikre
506,2538,0.17,589.75,internasjonale
507,2526,0.17,589.92,pr
508,2525,0.17,590.1,staten
509,2518,0.17,590.27,samt
510,2518,0.17,590.44,slutt
511,2511,0.17,590.61,innenfor
512,2511,0.17,590.78,skje
513,2507,0.17,590.96,brukes
514,2494,0.17,591.13,desember
515,2477,0.17,591.3,stå
516,2468,0.17,591.47,slikt
517,2468,0.17,591.64,snart
518,2468,0.17,591.8,veldig
519,2461,0.17,591.97,måneder
520,2457,0.17,592.14,stille
521,2451,0.17,592.31,kjenner
522,2446,0.17,592.48,1995
523,2445,0.17,592.64,samarbeid
524,2443,0.17,592.81,vanlig
525,2441,0.17,592.98,hevder
526,2440,0.17,593.15,veien
527,2432,0.17,593.31,følger
528,2427,0.17,593.48,grunnlag
529,2423,0.17,593.65,egentlig
530,2420,0.17,593.81,ganske
531,2414,0.17,593.98,føre
532,2414,0.17,594.14,viktigste
533,2403,0.16,594.31,feil
534,2398,0.16,594.47,21
535,2388,0.16,594.64,nemlig
536,2375,0.16,594.8,alvorlig
537,2370,0.16,594.96,ein
538,2369,0.16,595.12,hvilke
539,2353,0.16,595.28,ole
540,2347,0.16,595.44,ei
541,2346,0.16,595.61,foreløpig
542,2344,0.16,595.77,vise
543,2336,0.16,595.93,betale
544,2332,0.16,596.09,via
545,2313,0.16,596.24,forrige
546,2310,0.16,596.4,klare
